Unnamed: 0,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Rccovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population 2020,Yearly Change,Net Change,(P/Km²) Density,Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
215.0,Solomon Islands,20.0,,,,20.0,0.0,,29.0,,4500.0,6419.0,686884.0,0.03,17061.0,25.0,27990.0,-1600.0,4.40,20,0.23,0.0001
135.0,Somalia,14368.0,,745.0,,6152.0,7471.0,,883.0,46.0,117534.0,7226.0,15893222.0,0.03,450317.0,25.0,627340.0,-40000.0,6.10,17,0.47,0.002
20.0,South Africa,1590370.0,,54620.0,,1511905.0,23845.0,546.0,26533.0,911.0,10805804.0,180279.0,59308690.0,0.01,750420.0,49.0,1213090.0,145405.0,2.40,28,0.67,0.0076
84.0,South Korea,126044.0,525.0,1860.0,9.0,116022.0,8162.0,162.0,2457.0,36.0,9051354.0,176417.0,51269185.0,0.0,43877.0,527.0,97230.0,11731.0,1.10,44,0.82,0.0066
155.0,South Sudan,10637.0,17.0,115.0,,10312.0,210.0,,941.0,10.0,155471.0,13753.0,11193725.0,0.01,131612.0,18.0,610952.0,-174200.0,4.70,19,0.25,0.0014
9.0,Spain,3559222.0,,78726.0,,3239382.0,241114.0,2212.0,76100.0,1683.0,47213067.0,1009471.0,46754778.0,0.0,18002.0,94.0,498800.0,40000.0,1.30,45,0.80,0.006
88.0,Sri Lanka,121338.0,1914.0,745.0,,101763.0,18830.0,,5646.0,35.0,2849991.0,132624.0,21413249.0,0.0,89516.0,341.0,62710.0,-97986.0,2.20,34,0.18,0.0027
116.0,Sudan,33648.0,,2365.0,,27247.0,4036.0,,753.0,53.0,232965.0,5211.0,43849260.0,0.02,1036022.0,25.0,1765048.0,-50000.0,4.40,20,0.35,0.0056
151.0,Suriname,10816.0,,213.0,,9656.0,947.0,26.0,18299.0,360.0,52395.0,88644.0,586632.0,0.01,5260.0,4.0,156000.0,-1000.0,2.40,29,0.65,0.0001
27.0,Sweden,1007792.0,,14173.0,36.0,835458.0,158161.0,403.0,99266.0,1396.0,8798383.0,866624.0,10099265.0,0.01,62886.0,25.0,410340.0,40000.0,1.90,41,0.88,0.0013
